,Symbol,Company Name,Security Name,Cleaned Name
0,AABA,Altaba Inc. ,Altaba Inc. - Common Stock,Altaba
1,AAL,"American Airlines Group, Inc. ","American Airlines Group, Inc. - Common Stock",American Airlines
2,AAME,Atlantic American Corporation ,Atlantic American Corporation - Common Stock,Atlantic American
3,AAOI,"Applied Optoelectronics, Inc. ","Applied Optoelectronics, Inc. - Common Stock",Applied Optoelectronics
4,AAON,"AAON, Inc. ","AAON, Inc. - Common Stock",AAON
5,AAPL,Apple Inc. ,Apple Inc. - Common Stock,Apple
6,AAWW,Atlas Air Worldwide Holdings ,Atlas Air Worldwide Holdings - Common Stock,wide
7,AAXN,"Axon Enterprise, Inc. ","Axon Enterprise, Inc. - Common Stock",Axon 
8,ABAC,"Renmin Tianli Group, Inc. ","Renmin Tianli Group, Inc. - Common Shares",Renmin Tianli
9,ABCB,Ameris Bancorp ,Ameris Bancorp - Common Stock,Ameris Bancorp
10,ABCD,"Cambium Learning Group, Inc. ","Cambium Learning Group, Inc. - Common Stock",Cambium Learning
11,ABDC,Alcentra Capital Corp. ,Alcentra Capital Corp. - Common Stock,Alcentra
12,ABEO,Abeona Therapeutics Inc. ,Abeona Therapeutics Inc. - Common Stock,Abeona Therapeutics
13,ABEOW,Abeona Therapeutics Inc. ,Abeona Therapeutics Inc. - Warrant,Abeona rapeutics
14,ABIL,Ability Inc. ,Ability Inc. - Ordinary Shares,Ability
15,ABIO,"ARCA biopharma, Inc. ","ARCA biopharma, Inc. - Common Stock",ARCA biopharma
16,ABMD,"ABIOMED, Inc. ","ABIOMED, Inc. - Common Stock",ABOMED
17,ABTX,"Allegiance Bancshares, Inc. ","Allegiance Bancshares, Inc. - Common Stock",Allegiance
18,ABUS,Arbutus Biopharma Corporation ,Arbutus Biopharma Corporation - Common Stock,Arbutus Biopharma
19,ACAD,ACADIA Pharmaceuticals Inc. ,ACADIA Pharmaceuticals Inc. - Common Stock,ACADIA Pharmaceuticals
20,ACBI,"Atlantic Capital Bancshares, Inc. ","Atlantic Capital Bancshares, Inc. - Common Stock","Atlantic Capital Bancshares, Inc. "
21,ACER,Acer Therapeutics Inc. ,Acer Therapeutics Inc. - Common Stock,Acer Therapeutics
22,ACET,Aceto Corporation ,Aceto Corporation - Common Stock,Aceto
23,ACGL,Arch Capital Group Ltd. ,Arch Capital Group Ltd. - Common Stock,Arch Capital
24,ACGLO,Arch Capital Group Ltd. ,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Arch Capital Group Ltd. 
25,ACGLP,Arch Capital Group Ltd. ,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Arch Capital Group Ltd. 
26,ACHC,"Acadia Healthcare Company, Inc. ","Acadia Healthcare Company, Inc. - Common Stock",Acadia Healthcare
27,ACHN,"Achillion Pharmaceuticals, Inc. ","Achillion Pharmaceuticals, Inc. - Common Stock",Achillion Pharmaceuticals
28,ACHV,"Achieve Life Sciences, Inc.  ","Achieve Life Sciences, Inc.  - Common Shares",Achieve Life Sciences
29,ACIA,"Acacia Communications, Inc. ","Acacia Communications, Inc. - Common Stock",Acacia 
30,ACIU,AC Immune SA ,AC Immune SA - Common Stock,AC Immune
31,ACIW,"ACI Worldwide, Inc. ","ACI Worldwide, Inc. - Common Stock",ACI Worldwide
